"","age","gender","opinion_ban","opinion_strength","justice","treatment","fairness","eval","accept","comply","favorability"
"49",30,1,"Anti",2,6,"Lamenting politician",6,5,7,7,"Unfavorable"
"50",25,1,"Anti",5,3,"Lamenting politician",4,1,1,2,"Unfavorable"
"51",61,2,"Pro",3,5,"Lamenting politician",3,6,6,7,"Favorable"
"52",70,1,"Pro",5,7,"Lamenting politician",7,7,7,7,"Favorable"
"53",34,1,"Pro",1,3,"Lamenting politician",3,5,6,6,"Favorable"
"54",55,1,"Pro",5,5,"Lamenting politician",7,7,7,1,"Favorable"
"55",60,1,"Anti",6,5,"Lamenting politician",6,1,7,5,"Unfavorable"
"56",60,2,"Pro",2,4,"Lamenting politician",2,5,4,5,"Favorable"
"57",70,1,"Anti",4,6,"Lamenting politician",6,6,7,7,"Unfavorable"
"58",31,2,"Pro",4,4,"Lamenting politician",4,4,5,6,"Favorable"
"59",69,1,"Pro",3,4,"Lamenting politician",5,6,7,6,"Favorable"
"60",28,1,"Anti",6,1,"Lamenting politician",1,1,1,1,"Unfavorable"
"61",57,2,"Anti",3,3,"Lamenting politician",2,1,2,2,"Unfavorable"
"62",54,1,"Pro",3,4,"Lamenting politician",4,4,3,6,"Favorable"
"63",56,1,"Pro",5,7,"Lamenting politician",7,7,7,7,"Favorable"
"64",60,2,"Pro",1,4,"Lamenting politician",4,4,5,4,"Favorable"
"65",27,1,"Pro",2,6,"Lamenting politician",7,7,7,7,"Favorable"
"66",67,1,"Anti",5,4,"Lamenting politician",2,1,3,4,"Unfavorable"
"67",45,2,"Anti",4,5,"Lamenting politician",4,2,7,7,"Unfavorable"
"68",75,1,"Pro",5,3,"Lamenting politician",4,6,7,7,"Favorable"
"69",79,1,"Pro",6,6,"Lamenting politician",5,6,6,6,"Favorable"
"70",34,1,"Pro",3,4,"Lamenting politician",3,6,6,7,"Favorable"
"71",37,1,"Pro",4,4,"Lamenting politician",4,6,6,7,"Favorable"
"72",37,1,"Anti",3,5,"Lamenting politician",6,2,4,4,"Unfavorable"
"73",34,2,"Anti",1,1,"Lamenting politician",1,1,4,4,"Unfavorable"
"74",55,2,"Anti",2,3,"Lamenting politician",3,3,4,4,"Unfavorable"
"75",22,2,"Pro",3,3,"Lamenting politician",3,3,4,4,"Favorable"
"76",73,1,"Pro",5,7,"Lamenting politician",7,7,7,7,"Favorable"
"77",31,1,"Anti",1,3,"Lamenting politician",3,2,3,3,"Unfavorable"
"78",63,2,"Anti",4,4,"Lamenting politician",5,3,4,4,"Unfavorable"
"79",77,2,"Pro",4,3,"Lamenting politician",3,4,5,5,"Favorable"
"80",39,1,"Anti",3,4,"Lamenting politician",4,4,6,5,"Unfavorable"
"81",67,2,"Pro",4,5,"Lamenting politician",5,6,6,6,"Favorable"
"82",36,1,"Anti",5,2,"Lamenting politician",2,1,5,4,"Unfavorable"
"83",76,1,"Pro",7,1,"Lamenting politician",1,1,2,1,"Favorable"
"84",38,1,"Anti",3,5,"Lamenting politician",4,6,6,6,"Unfavorable"
"85",69,2,"Anti",3,4,"Lamenting politician",3,4,5,3,"Unfavorable"
"86",69,1,"Pro",6,7,"Lamenting politician",7,7,7,7,"Favorable"
"87",69,2,"Pro",4,5,"Lamenting politician",5,4,4,5,"Favorable"
"88",37,1,"Pro",5,6,"Lamenting politician",6,6,7,6,"Favorable"
"89",38,1,"Anti",6,7,"Lamenting politician",7,1,6,6,"Unfavorable"
"90",54,1,"Pro",7,7,"Lamenting politician",7,7,7,7,"Favorable"
"91",71,1,"Anti",2,3,"Lamenting politician",2,2,2,6,"Unfavorable"
"92",67,1,"Pro",7,2,"Lamenting politician",2,7,7,7,"Favorable"
"93",69,2,"Pro",1,7,"Lamenting politician",7,7,3,7,"Favorable"
"94",73,1,"Pro",6,5,"Lamenting politician",7,7,7,7,"Favorable"
"95",36,1,"Pro",3,3,"Lamenting politician",4,5,5,6,"Favorable"
"96",33,2,"Pro",2,6,"Lamenting politician",6,6,7,7,"Favorable"
"97",31,2,"Pro",7,4,"Lamenting politician",4,7,7,7,"Favorable"
"98",69,1,"Anti",2,7,"Lamenting politician",7,7,7,7,"Unfavorable"
"99",75,1,"Anti",7,2,"Lamenting politician",2,2,1,6,"Unfavorable"
"100",27,1,"Pro",5,6,"Lamenting politician",6,6,6,6,"Favorable"
"101",72,2,"Pro",5,5,"Lamenting politician",5,5,5,6,"Favorable"
"102",83,2,"Anti",7,1,"Lamenting politician",1,4,2,6,"Unfavorable"
"103",55,1,"Anti",6,1,"Lamenting politician",2,7,7,4,"Unfavorable"
"104",26,2,"Pro",4,4,"Lamenting politician",4,5,7,6,"Favorable"
"105",59,1,"Anti",5,4,"Lamenting politician",4,4,5,5,"Unfavorable"
"106",80,2,"Anti",4,2,"Lamenting politician",2,2,1,3,"Unfavorable"
"107",53,1,"Anti",6,1,"Lamenting politician",1,3,5,4,"Unfavorable"
"108",69,1,"Pro",2,7,"Lamenting politician",7,7,7,7,"Favorable"
"109",80,2,"Anti",5,4,"Lamenting politician",5,4,3,4,"Unfavorable"
"110",57,2,"Anti",1,4,"Lamenting politician",4,1,5,4,"Unfavorable"
"111",32,2,"Pro",4,4,"Lamenting politician",5,7,7,7,"Favorable"
"112",50,1,"Pro",6,4,"Lamenting politician",6,6,6,7,"Favorable"
"113",81,2,"Anti",4,4,"Lamenting politician",4,1,1,1,"Unfavorable"
"114",55,2,"Pro",3,2,"Lamenting politician",3,2,2,2,"Favorable"
"115",48,1,"Pro",6,7,"Lamenting politician",7,6,7,5,"Favorable"
"116",41,2,"Anti",2,4,"Lamenting politician",4,2,4,4,"Unfavorable"
"117",38,2,"Anti",4,4,"Lamenting politician",4,1,4,4,"Unfavorable"
"118",41,1,"Anti",4,2,"Lamenting politician",2,1,5,4,"Unfavorable"
"119",35,2,"Pro",5,2,"Lamenting politician",4,5,7,7,"Favorable"
"120",28,2,"Anti",6,2,"Lamenting politician",2,1,1,2,"Unfavorable"
"121",49,2,"Anti",7,4,"Lamenting politician",4,4,1,1,"Unfavorable"
"122",35,2,"Anti",7,1,"Lamenting politician",1,1,1,1,"Unfavorable"
"123",21,2,"Pro",6,7,"Lamenting politician",5,5,5,6,"Favorable"
"124",59,1,"Anti",3,7,"Lamenting politician",7,5,7,3,"Unfavorable"
"125",54,2,"Pro",7,4,"Lamenting politician",4,7,7,7,"Favorable"
"126",68,2,"Pro",2,3,"Lamenting politician",4,5,7,7,"Favorable"
"127",41,1,"Anti",4,4,"Lamenting politician",4,4,4,4,"Unfavorable"
"128",49,1,"Pro",2,4,"Lamenting politician",4,4,5,5,"Favorable"
"129",36,1,"Pro",3,2,"Lamenting politician",2,2,2,4,"Favorable"
"130",82,2,"Anti",1,1,"Lamenting politician",1,1,1,7,"Unfavorable"
"131",80,2,"Anti",4,4,"Lamenting politician",4,4,7,7,"Unfavorable"
"132",78,1,"Pro",2,7,"Lamenting politician",7,7,7,4,"Favorable"
"133",78,2,"Pro",7,4,"Lamenting politician",3,2,3,3,"Favorable"
"134",77,1,"Pro",6,5,"Lamenting politician",5,6,6,6,"Favorable"
"135",75,1,"Pro",2,2,"Lamenting politician",2,1,5,4,"Favorable"
"136",75,2,"Pro",1,6,"Lamenting politician",6,7,7,7,"Favorable"
"137",73,2,"Pro",6,3,"Lamenting politician",5,7,7,7,"Favorable"
"138",72,2,"Pro",3,3,"Lamenting politician",3,3,3,3,"Favorable"
"139",71,2,"Pro",4,6,"Lamenting politician",6,5,6,7,"Favorable"
"140",69,1,"Pro",4,6,"Lamenting politician",7,7,7,7,"Favorable"
"141",69,2,"Pro",6,6,"Lamenting politician",6,6,7,3,"Favorable"
"142",68,1,"Anti",5,3,"Lamenting politician",3,2,2,2,"Unfavorable"
"143",66,2,"Pro",7,6,"Lamenting politician",6,7,7,7,"Favorable"
"144",65,2,"Pro",3,1,"Lamenting politician",1,4,2,6,"Favorable"
"145",64,1,"Pro",4,7,"Lamenting politician",6,6,6,6,"Favorable"
"146",64,2,"Pro",3,5,"Lamenting politician",6,4,7,6,"Favorable"
"147",63,1,"Anti",6,6,"Lamenting politician",7,7,7,7,"Unfavorable"
"148",63,2,"Anti",6,4,"Lamenting politician",4,1,4,4,"Unfavorable"
"149",62,1,"Pro",4,5,"Lamenting politician",7,7,7,7,"Favorable"
"150",62,1,"Anti",4,1,"Lamenting politician",1,1,1,4,"Unfavorable"
"151",62,1,"Pro",7,6,"Lamenting politician",7,7,7,7,"Favorable"
"152",61,1,"Pro",2,4,"Lamenting politician",4,6,7,7,"Favorable"
"153",61,2,"Pro",5,7,"Lamenting politician",7,7,7,7,"Favorable"
"154",61,1,"Pro",6,5,"Lamenting politician",4,4,6,6,"Favorable"
"155",59,2,"Pro",7,1,"Lamenting politician",1,1,7,7,"Favorable"
"156",57,1,"Pro",3,5,"Lamenting politician",4,5,5,5,"Favorable"
"157",55,1,"Pro",5,5,"Lamenting politician",5,7,7,7,"Favorable"
"158",54,1,"Pro",2,7,"Lamenting politician",7,7,7,7,"Favorable"
"159",52,2,"Pro",7,7,"Lamenting politician",7,7,7,7,"Favorable"
"160",50,2,"Anti",3,3,"Lamenting politician",3,6,6,7,"Unfavorable"
"161",45,1,"Pro",4,4,"Lamenting politician",3,6,5,3,"Favorable"
"162",45,1,"Pro",4,5,"Lamenting politician",5,7,7,7,"Favorable"
"163",43,1,"Pro",6,4,"Lamenting politician",4,7,7,7,"Favorable"
"164",42,2,"Pro",5,3,"Lamenting politician",2,7,7,7,"Favorable"
"165",41,1,"Pro",4,5,"Lamenting politician",5,6,6,7,"Favorable"
"166",41,1,"Pro",2,6,"Lamenting politician",6,4,1,6,"Favorable"
"167",39,1,"Pro",5,5,"Lamenting politician",5,5,5,5,"Favorable"
"168",38,1,"Anti",5,5,"Lamenting politician",5,7,7,7,"Unfavorable"
"169",46,2,"Pro",4,3,"Lamenting politician",4,5,5,7,"Favorable"
"170",34,1,"Pro",5,4,"Lamenting politician",4,5,6,5,"Favorable"
"171",21,1,"Pro",2,4,"Lamenting politician",4,5,7,7,"Favorable"
"172",29,1,"Anti",7,4,"Lamenting politician",4,1,2,1,"Unfavorable"
"173",27,1,"Anti",3,4,"Lamenting politician",3,3,5,4,"Unfavorable"
"174",22,2,"Anti",3,3,"Lamenting politician",3,3,2,2,"Unfavorable"
"175",19,2,"Anti",1,4,"Lamenting politician",4,4,4,4,"Unfavorable"
"176",19,2,"Pro",4,4,"Lamenting politician",3,6,6,6,"Favorable"
"177",19,1,"Anti",2,3,"Lamenting politician",4,4,5,6,"Unfavorable"
"178",19,2,"Anti",4,2,"Lamenting politician",2,4,2,4,"Unfavorable"
"179",40,2,"Pro",4,3,"General prime",3,3,3,3,"Favorable"
"180",76,2,"Pro",4,5,"General prime",5,4,5,4,"Favorable"
"181",59,1,"Anti",3,4,"General prime",5,7,7,7,"Unfavorable"
"182",21,1,"Anti",2,3,"General prime",3,3,4,4,"Unfavorable"
"183",50,1,"Anti",3,5,"General prime",7,4,6,7,"Unfavorable"
"184",68,2,"Pro",5,1,"General prime",7,7,7,1,"Favorable"
"185",72,1,"Pro",3,4,"General prime",4,4,5,5,"Favorable"
"186",68,2,"Anti",5,6,"General prime",7,1,5,5,"Unfavorable"
"187",45,1,"Pro",2,5,"General prime",3,2,5,6,"Favorable"
"188",50,2,"Anti",6,3,"General prime",3,1,1,1,"Unfavorable"
"189",32,1,"Pro",2,4,"General prime",2,4,6,7,"Favorable"
"190",73,1,"Pro",7,1,"General prime",1,7,7,7,"Favorable"
"191",66,1,"Anti",7,1,"General prime",1,1,1,1,"Unfavorable"
"192",78,1,"Anti",1,1,"General prime",1,1,1,1,"Unfavorable"
"193",80,2,"Anti",1,1,"General prime",1,1,4,1,"Unfavorable"
"194",45,2,"Anti",1,3,"General prime",3,2,5,6,"Unfavorable"
"195",50,1,"Pro",1,3,"General prime",3,3,4,4,"Favorable"
"196",65,2,"Pro",3,4,"General prime",5,7,7,7,"Favorable"
"197",64,1,"Anti",7,1,"General prime",1,1,1,1,"Unfavorable"
"198",63,2,"Anti",6,1,"General prime",1,1,1,7,"Unfavorable"
"199",38,1,"Pro",7,7,"General prime",7,7,7,7,"Favorable"
"200",75,2,"Pro",6,6,"General prime",5,7,7,7,"Favorable"
"201",26,1,"Anti",1,5,"General prime",6,2,3,6,"Unfavorable"
"202",41,2,"Pro",5,6,"General prime",6,6,7,7,"Favorable"
"203",65,2,"Pro",5,5,"General prime",2,5,1,5,"Favorable"
"204",81,2,"Pro",4,4,"General prime",4,7,7,7,"Favorable"
"205",56,1,"Anti",7,4,"General prime",4,4,7,7,"Unfavorable"
"206",56,2,"Pro",2,6,"General prime",6,5,6,7,"Favorable"
"207",25,1,"Pro",3,5,"General prime",6,7,7,7,"Favorable"
"208",50,2,"Pro",4,2,"General prime",2,7,7,6,"Favorable"
"209",70,1,"Pro",1,1,"General prime",4,3,1,6,"Favorable"
"210",63,1,"Anti",4,5,"General prime",4,2,2,2,"Unfavorable"
"211",38,1,"Anti",2,2,"General prime",2,1,2,7,"Unfavorable"
"212",73,1,"Anti",5,5,"General prime",5,5,2,5,"Unfavorable"
"213",26,1,"Pro",5,1,"General prime",1,1,4,6,"Favorable"
"214",62,2,"Anti",3,3,"General prime",2,3,3,4,"Unfavorable"
"215",41,1,"Pro",2,4,"General prime",7,6,6,6,"Favorable"
"216",55,1,"Pro",2,6,"General prime",7,7,7,7,"Favorable"
"217",58,2,"Anti",4,1,"General prime",1,1,1,4,"Unfavorable"
"218",39,2,"Pro",2,1,"General prime",5,7,7,7,"Favorable"
"219",40,2,"Pro",2,7,"General prime",7,4,7,7,"Favorable"
"220",69,1,"Pro",6,3,"General prime",5,6,5,6,"Favorable"
"221",33,1,"Pro",2,4,"General prime",5,6,7,5,"Favorable"
"222",49,1,"Pro",2,6,"General prime",6,6,7,6,"Favorable"
"223",60,2,"Pro",5,5,"General prime",6,5,5,6,"Favorable"
"224",78,2,"Pro",4,3,"General prime",4,5,5,5,"Favorable"
"225",20,2,"Anti",5,3,"General prime",3,2,5,5,"Unfavorable"
"226",65,1,"Pro",6,4,"General prime",5,7,7,7,"Favorable"
"227",74,1,"Anti",2,6,"General prime",6,2,6,7,"Unfavorable"
"228",71,1,"Anti",3,1,"General prime",1,1,7,1,"Unfavorable"
"229",81,1,"Pro",6,5,"General prime",5,6,7,7,"Favorable"
"230",85,1,"Anti",4,7,"General prime",7,1,1,4,"Unfavorable"
"231",20,1,"Pro",4,4,"General prime",4,4,5,5,"Favorable"
"232",56,2,"Pro",4,5,"General prime",4,7,7,4,"Favorable"
"233",25,2,"Pro",4,4,"General prime",3,3,3,4,"Favorable"
"234",33,2,"Anti",5,1,"General prime",1,1,1,1,"Unfavorable"
"235",61,1,"Pro",6,6,"General prime",6,6,7,7,"Favorable"
"236",52,1,"Pro",4,7,"General prime",7,7,7,7,"Favorable"
"237",73,2,"Pro",7,5,"General prime",5,6,7,7,"Favorable"
"238",39,2,"Anti",5,5,"General prime",6,2,5,4,"Unfavorable"
"239",67,2,"Pro",7,7,"General prime",7,7,7,7,"Favorable"
"240",63,1,"Anti",5,7,"General prime",7,4,7,7,"Unfavorable"
"241",75,2,"Pro",7,7,"General prime",7,7,7,7,"Favorable"
"242",22,1,"Pro",7,7,"General prime",7,6,7,7,"Favorable"
"243",46,1,"Pro",2,4,"General prime",4,4,4,4,"Favorable"
"244",56,1,"Pro",6,5,"General prime",7,7,7,7,"Favorable"
"245",53,2,"Anti",7,7,"General prime",7,1,7,7,"Unfavorable"
"246",65,2,"Anti",3,4,"General prime",6,4,4,3,"Unfavorable"
"247",30,1,"Pro",4,4,"General prime",4,4,6,7,"Favorable"
"248",62,1,"Anti",2,6,"General prime",6,3,5,6,"Unfavorable"
"249",34,1,"Pro",6,2,"General prime",3,7,7,5,"Favorable"
"250",68,2,"Pro",6,4,"General prime",3,4,6,4,"Favorable"
"251",52,1,"Anti",6,6,"General prime",6,7,7,7,"Unfavorable"
"252",43,2,"Anti",4,5,"General prime",6,1,3,4,"Unfavorable"
"253",66,1,"Pro",5,5,"General prime",6,5,5,6,"Favorable"
"254",71,1,"Pro",5,7,"General prime",7,7,7,7,"Favorable"
"255",44,2,"Pro",3,4,"General prime",3,4,6,6,"Favorable"
"256",62,1,"Anti",4,6,"General prime",6,5,7,6,"Unfavorable"
"257",50,2,"Pro",1,7,"General prime",7,4,7,7,"Favorable"
"258",62,2,"Anti",3,3,"General prime",3,4,3,4,"Unfavorable"
"259",45,1,"Pro",6,3,"General prime",4,1,3,1,"Favorable"
"260",62,2,"Pro",7,5,"General prime",5,7,7,7,"Favorable"
"261",65,1,"Anti",4,5,"General prime",5,3,7,6,"Unfavorable"
"262",36,2,"Anti",2,4,"General prime",4,4,4,2,"Unfavorable"
"263",62,2,"Pro",2,2,"General prime",4,4,6,6,"Favorable"
"264",74,2,"Anti",7,7,"General prime",7,7,7,7,"Unfavorable"
"265",74,2,"Pro",4,2,"General prime",2,2,5,5,"Favorable"
"266",25,1,"Pro",3,5,"General prime",5,4,6,7,"Favorable"
"267",36,2,"Anti",6,4,"General prime",4,1,1,1,"Unfavorable"
"268",62,2,"Pro",5,4,"General prime",4,5,7,6,"Favorable"
"269",62,2,"Pro",6,5,"General prime",4,6,6,6,"Favorable"
"270",82,1,"Anti",4,3,"General prime",2,6,6,2,"Unfavorable"
"271",33,1,"Pro",6,7,"General prime",7,2,5,7,"Favorable"
"272",47,2,"Pro",5,5,"General prime",6,3,6,6,"Favorable"
"273",29,1,"Anti",2,5,"General prime",5,2,4,6,"Unfavorable"
"274",36,2,"Anti",3,4,"General prime",3,3,2,4,"Unfavorable"
"275",32,2,"Pro",3,7,"General prime",7,4,4,7,"Favorable"
"276",31,2,"Anti",6,5,"General prime",6,1,4,4,"Unfavorable"
"277",20,1,"Pro",1,5,"General prime",7,5,7,7,"Favorable"
"278",22,2,"Anti",4,1,"General prime",1,2,2,3,"Unfavorable"
"279",30,2,"Anti",4,4,"General prime",3,3,5,6,"Unfavorable"
"280",75,2,"Pro",5,4,"General prime",4,5,6,5,"Favorable"
"281",42,2,"Anti",2,4,"General prime",4,4,4,4,"Unfavorable"
"282",36,2,"Pro",4,4,"General prime",4,3,3,5,"Favorable"
"283",63,2,"Anti",4,1,"General prime",1,1,1,1,"Unfavorable"
"284",69,1,"Pro",4,5,"General prime",5,5,5,5,"Favorable"
"285",38,2,"Pro",1,5,"General prime",5,4,6,7,"Favorable"
"286",71,2,"Anti",4,3,"General prime",3,2,3,5,"Unfavorable"
"287",60,1,"Pro",6,4,"General prime",7,5,7,4,"Favorable"
"288",70,2,"Pro",2,5,"General prime",5,6,6,6,"Favorable"
"289",46,1,"Anti",7,6,"General prime",6,1,6,3,"Unfavorable"
"290",83,1,"Anti",5,7,"General prime",7,2,4,2,"Unfavorable"
"291",83,1,"Anti",7,7,"General prime",1,7,7,7,"Unfavorable"
"292",81,1,"Pro",5,4,"General prime",4,6,7,7,"Favorable"
"293",79,2,"Anti",4,3,"General prime",3,1,6,6,"Unfavorable"
"294",74,2,"Pro",7,2,"General prime",4,7,7,7,"Favorable"
"295",74,2,"Pro",5,7,"General prime",7,7,7,7,"Favorable"
"296",73,1,"Pro",5,2,"General prime",2,6,6,6,"Favorable"
"297",72,1,"Anti",3,6,"General prime",6,3,6,5,"Unfavorable"
"298",71,1,"Pro",3,4,"General prime",4,5,5,4,"Favorable"
"299",68,1,"Anti",5,3,"General prime",2,2,3,3,"Unfavorable"
"300",68,1,"Anti",4,7,"General prime",7,2,7,2,"Unfavorable"
"301",67,2,"Pro",4,4,"General prime",4,6,7,7,"Favorable"
"302",66,1,"Anti",6,4,"General prime",5,6,7,7,"Unfavorable"
"303",66,2,"Anti",3,3,"General prime",3,4,4,4,"Unfavorable"
"304",65,2,"Anti",1,6,"General prime",7,5,5,7,"Unfavorable"
"305",64,2,"Pro",5,6,"General prime",5,7,7,7,"Favorable"
"306",64,1,"Pro",3,5,"General prime",5,6,7,7,"Favorable"
"307",64,1,"Pro",5,6,"General prime",6,7,1,7,"Favorable"
"308",63,2,"Anti",4,6,"General prime",4,7,5,5,"Unfavorable"
"309",62,2,"Pro",3,5,"General prime",5,6,6,6,"Favorable"
"310",62,1,"Anti",3,3,"General prime",3,2,3,3,"Unfavorable"
"311",61,1,"Pro",3,5,"General prime",5,5,5,6,"Favorable"
"312",60,2,"Anti",6,4,"General prime",4,1,6,3,"Unfavorable"
"313",59,1,"Pro",5,5,"General prime",5,6,6,6,"Favorable"
"314",59,2,"Pro",3,7,"General prime",7,4,7,7,"Favorable"
"315",58,1,"Pro",5,4,"General prime",4,5,5,4,"Favorable"
"316",58,2,"Anti",1,4,"General prime",5,4,5,5,"Unfavorable"
"317",58,1,"Pro",3,2,"General prime",3,3,4,4,"Favorable"
"318",58,2,"Anti",7,6,"General prime",5,1,1,2,"Unfavorable"
"319",54,2,"Pro",7,4,"General prime",4,7,7,1,"Favorable"
"320",53,2,"Pro",3,4,"General prime",4,7,4,5,"Favorable"
"321",52,1,"Pro",2,5,"General prime",5,4,4,5,"Favorable"
"322",52,1,"Pro",1,6,"General prime",5,7,7,7,"Favorable"
"323",51,2,"Anti",2,4,"General prime",6,4,7,7,"Unfavorable"
"324",51,1,"Pro",7,6,"General prime",6,7,7,7,"Favorable"
"325",51,1,"Pro",6,4,"General prime",4,5,6,7,"Favorable"
"326",51,1,"Anti",4,4,"General prime",4,4,4,3,"Unfavorable"
"327",50,1,"Pro",7,6,"General prime",5,7,7,6,"Favorable"
"328",50,1,"Anti",2,2,"General prime",2,4,4,4,"Unfavorable"
"329",49,1,"Pro",7,7,"General prime",7,7,7,7,"Favorable"
"330",47,2,"Pro",4,4,"General prime",4,6,7,7,"Favorable"
"331",47,2,"Pro",3,5,"General prime",5,7,7,7,"Favorable"
"332",46,2,"Pro",7,4,"General prime",3,4,7,3,"Favorable"
"333",46,1,"Pro",3,6,"General prime",6,6,6,6,"Favorable"
"334",44,1,"Pro",6,5,"General prime",5,7,7,7,"Favorable"
"335",42,2,"Pro",2,2,"General prime",5,6,6,6,"Favorable"
"336",42,2,"Anti",2,3,"General prime",3,3,4,3,"Unfavorable"
"337",40,1,"Anti",2,7,"General prime",7,2,6,6,"Unfavorable"
"338",40,2,"Anti",2,3,"General prime",3,4,3,3,"Unfavorable"
"339",39,1,"Anti",3,7,"General prime",7,2,6,6,"Unfavorable"
"340",39,2,"Anti",5,4,"General prime",7,6,6,6,"Unfavorable"
"341",38,2,"Pro",5,6,"General prime",7,5,7,7,"Favorable"
"342",36,1,"Anti",2,2,"General prime",2,1,2,4,"Unfavorable"
"343",71,1,"Anti",5,5,"General prime",7,1,1,1,"Unfavorable"
"344",34,1,"Anti",3,5,"General prime",5,2,6,6,"Unfavorable"
"345",33,2,"Anti",3,4,"General prime",4,4,7,5,"Unfavorable"
"346",32,2,"Anti",3,2,"General prime",4,3,5,4,"Unfavorable"
"347",31,2,"Pro",1,5,"General prime",6,7,7,7,"Favorable"
"348",27,2,"Anti",2,4,"General prime",4,3,3,3,"Unfavorable"
"349",26,2,"Anti",4,3,"General prime",3,3,3,3,"Unfavorable"
"350",26,1,"Anti",6,6,"General prime",6,1,3,3,"Unfavorable"
"351",24,1,"Anti",3,7,"General prime",7,6,6,5,"Unfavorable"
"352",22,1,"Pro",3,4,"General prime",5,4,6,2,"Favorable"
"353",20,2,"Anti",7,5,"General prime",6,1,7,5,"Unfavorable"
"354",20,1,"Pro",6,5,"General prime",6,5,5,5,"Favorable"
"355",19,1,"Pro",4,5,"General prime",7,6,6,7,"Favorable"
"356",19,2,"Pro",1,4,"General prime",4,4,5,4,"Favorable"
"357",18,2,"Pro",5,5,"General prime",5,5,6,6,"Favorable"
"358",58,1,"Anti",3,2,"Not shown",1,2,2,3,"Unfavorable"
